X,Y,Z
-46,320,-1
-151,302,-1
-197,289,0
-288,235,0
-328,200,0
-398,118,-1
-422,67,-1
-454,-15,-1
-467,-112,0
-466,-163,0
-444,-267,0
-422,-319,-1
-371,-406,0
-335,-445,0
-243,-514,-1
-194,-545,1
-84,-575,-1
20,-580,1
74,-576,-1
183,-535,0
229,-511,0
312,-441,0
347,-391,-1
398,-297,0
415,-178,255
424,-121,0
406,-16,1
387,42,0
332,137,-1
299,174,-1
221,240,0
174,265,0
63,306,-1
-51,318,0
-102,312,0
-206,279,0
-256,256,0
-343,186,1
-374,150,0
-423,73,-1
-441,24,-1
-462,-75,-1
-462,-185,0
-451,-235,0
-416,-331,-1
-389,-380,0
-312,-465,0
-270,-503,-1
-180,-548,0
-130,-565,0
-26,-583,0
89,-569,-1
141,-556,0
229,-510,0
272,-477,0
347,-398,-1
375,-346,1
409,-256,0
420,-149,-1
420,-88,0
394,22,-1
373,72,-1
319,152,-1
285,188,0
196,256,0
146,279,-1
47,310,-1
-51,319,-1
-105,310,0
-215,277,0
-264,250,0
-341,189,-1
-372,153,0
-423,68,-1
-442,24,0
-463,-76,-1
-465,-169,-1
-457,-214,0
-425,-315,1
-397,-365,0
-319,-455,0
-281,-492,0
-185,-545,0
-133,-565,-1
-28,-584,-1
78,-571,0
127,-560,0
229,-510,-1
274,-475,0
348,-398,0
374,-346,0
412,-246,0
424,-128,0
418,-71,0
394,23,-1
371,72,-1
306,162,-1
266,207,0
167,270,-1
123,292,0
14,316,0
-104,311,0
-155,303,-1
-252,259,0
-294,230,0
-368,159,0
-400,110,-1
-443,20,-1
-457,-26,0
-465,-128,1
-456,-226,1
-440,-279,-1
-391,-376,-1
-363,-414,-1
-277,-494,0
-231,-523,-1
-126,-565,-1
-76,-577,0
24,-581,0
138,-553,0
186,-535,0
270,-479,-2
307,-444,0
370,-359,-1
395,-305,0
421,-189,0
422,-89,-1
412,-33,0
373,67,0
346,117,0
276,197,-1
241,225,-1
156,280,-1
101,295,0
-13,319,-1
-120,309,0
-168,296,0
-262,252,0
-306,221,0
-378,147,-1
-401,113,1
-440,29,-1
-453,-15,-1
-466,-115,-1
-456,-224,1
-443,-269,0
-399,-363,0
-368,-406,0
-286,-490,1
-240,-515,0
-154,-559,0
-104,-571,-1
12,-580,-1
127,-559,0
174,-538,-1
256,-490,-1
299,-452,-1
368,-360,-1
392,-315,-1
418,-215,0
424,-105,-1
414,-49,0
374,65,-1
349,109,-1
282,187,0
240,226,-1
140,281,-1
85,303,0
-19,318,0
